,bins,completeness,contamination
41,bin.1003,74.59697117733269,4.606741573033707
47,bin.1018,73.33333333333333,1.3333333333333333
49,bin.107,94.55645161290323,3.655046826222685
51,bin.1031,89.33333333333333,6.0
54,bin.1046,70.29222595078299,3.1879194630872485
56,bin.1015,75.7977207977208,3.4472934472934473
60,bin.1020,85.74168797953965,1.3807285546415982
64,bin.106,81.67194092827005,2.6371308016877637
66,bin.1055,90.89485458612975,2.8523489932885906
70,bin.1040,81.56645569620254,2.5316455696202533
72,bin.1069,87.9021624472574,1.3053797468354431
74,bin.1047,86.76466849705105,4.026845637583893
77,bin.101,90.17379679144383,2.840909090909091
84,bin.1009,79.65780998389693,1.8156199677938807
91,bin.1068,75.21665934709412,1.4412238325281803
93,bin.1029,79.36183395291202,3.3663775299463032
99,bin.1048,75.29082774049218,4.3624161073825505
101,bin.1082,92.91646311675622,8.146067415730338
102,bin.1014,90.91722595078299,3.3207494407158835
113,bin.1072,74.40413752913754,6.410256410256411
114,bin.1071,96.8883465527761,0.8389261744966443
116,bin.1084,75.9995507637017,9.90566037735849
118,bin.1036,92.95302013422818,2.348993288590604
119,bin.100,91.63120567375886,1.8321513002364065
121,bin.102,85.96196868008948,0.7321537522879804
125,bin.1033,93.13186813186815,1.048951048951049
127,bin.1080,80.77348448192438,7.78553489550932
139,bin.1126,84.85972503314956,9.149277688603531
146,bin.1111,84.1376582278481,8.670886075949367
148,bin.1139,84.26966292134831,4.269662921348314
149,bin.1133,74.29467084639498,2.5705329153605017
158,bin.1130,91.76029962546816,2.6217228464419473
159,bin.1119,80.73575949367088,3.0590717299578056
167,bin.1104,86.92028985507247,2.6368760064412236
177,bin.1120,70.33951088061826,0.4697986577181208
178,bin.1100,72.24025974025975,2.0396270396270393
179,bin.1162,76.28526645768025,9.482758620689655
180,bin.1099,91.19699511897498,5.425055928411632
184,bin.1123,76.98728139904611,2.0564042303172743
186,bin.1124,79.07178670765627,8.586956521739129
194,bin.118,70.66666666666667,9.272727272727273
197,bin.1129,96.56471631205673,2.127659574468085
203,bin.1112,87.41258741258741,2.097902097902098
206,bin.1172,86.66666666666666,4.301075268817204
208,bin.1153,79.92464539007092,0.945626477541371
211,bin.1136,70.55167055167055,2.840909090909091
219,bin.1134,82.41633103183737,4.0084388185654
222,bin.1180,85.61208267090619,1.8243243243243243
225,bin.1195,87.30825598436736,7.089352594970572
234,bin.1204,85.29171610021635,3.3707865168539324
236,bin.1206,87.94395568589117,3.6005213424568265
240,bin.1212,87.64044943820225,8.768930141670738
243,bin.1161,75.21572104018914,2.0094562647754137
244,bin.1192,78.55869941020948,4.026845637583893
252,bin.1203,87.92373897199846,3.0063291139240507
255,bin.1211,89.66666666666667,1.1904761904761905
265,bin.1221,89.56751054852319,1.4767932489451476
267,bin.1199,86.80089485458612,0.6711409395973155
269,bin.1214,91.20862884160758,0.19946808510638298
273,bin.122,94.4,0.8
274,bin.1234,84.89003709591945,2.7027027027027026
